Workload,daxpy_k_BARCELONA,dgemm_kernel_BARCELONA,dgemv_n_BARCELONA,dgemv_t_BARCELONA,_aligned_strided_to_contig_size8,cblas_daxpy,cblas_ddot,dgemm_oncopy_BARCELONA,pairwise_sum_DOUBLE,sse2_binary_scalar2_divide_DOUBLE,__pyx_pf_7sklearn_12linear_model_8sag_fast_2sag.isra.15,dgemm_otcopy_BARCELONA,sse2_binary_divide_DOUBLE,DOUBLE_add,__ieee754_exp_sse2,__ieee754_log_sse2,__pyx_f_7sklearn_5utils_11seq_dataset_17SequentialDataset_random,l2r_lr_fun::XTv,l2r_lr_fun::Xv,solve_l2r_lr_dual,train_one,transpose,Solver_MCSVM_CS::Solve,l2r_l2_svc_fun::subXTv,l2r_l2_svc_fun::subXv,solve_l2r_l1l2_svc,expm1,svm::Cache::swap_index,svm::Kernel::dot,svm::Kernel::k_function,svm::Kernel::kernel_poly,svm::Kernel::kernel_rbf,svm::Kernel::kernel_sigmoid,svm::SVC_Q::get_Q,svm::Solver::Solve,svm::Solver::select_working_set,tanh,__exp1,__ieee754_pow_sse2,__pyx_f_7sklearn_9neighbors_12dist_metrics_17ManhattanDistance_dist,__pyx_f_7sklearn_9neighbors_7kd_tree_10BinaryTree__recursive_build,__pyx_f_7sklearn_9neighbors_9ball_tree_10BinaryTree__recursive_build,pow
linear12,35.423,,,25.0552333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear11,,19.05415,26.84135,29.70695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear14,17.0077,30.2323,,28.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso192,,37.726853125,,,8.971309375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso224,,18.19205,,,15.5452,,,,6.5967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso128,,53.981395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso248,,21.620675,,5.286925,18.1746,,,5.77175,5.893575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso68,,,,,10.80589,,25.98725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso102,,,,,17.11165,,13.1672,,9.06245,5.25345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasso100,,,,,23.964,,14.208425,,8.2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
